claim_id,manuscript_section,claim,evidence_type,repository_file,experiment,reproducible,external_data_required,status,notes
C001,3.2,"The assessment unit is a proposed defensive action on a specified asset and operating state; R_CI combines E,D,A,F,C.",computational/specification,paper/equations.csv; src/rdfr_ci/risk.py,Eq. 1,yes,no,REPRODUCED,"Policy score, not calibrated probability of harm."
C002,3.2,"Default weights are (0.20,0.20,0.15,0.20,0.25) and are illustrative policy parameters.",configuration,configs/default_weights.yaml; paper/equations.csv,Eq. 2,yes,no,REPRODUCED,No universal weight-importance claim.
C003,3.2,21 of 30 illustrative scenarios change provisional band under at least one tested alternative aggregation.,illustrative sensitivity,results/sensitivity/aggregation_summary.json,aggregation sensitivity,yes,no,REPRODUCED,Does not identify an empirically preferred operator.
C004,3.4,"D is a detection capability gap (1 minus criticality-weighted recall), not capability itself.",computational/specification,paper/equations.csv; src/rdfr_ci/detection.py,Eqs. 4-5,yes,no,REPRODUCED,Criticality weights and phi are declared parameters.
C005,3.4,D(phi) is evaluated at a calibration-selected threshold subject to a declared false-positive budget.,computational/specification,paper/equations.csv; src/rdfr_ci/detection.py,Eq. 5,yes,no,REPRODUCED,Held-out budget feasibility must be reported separately.
C006,3.6,"Forensic risk is F=1-Q_F with EC,PC,TI,CC,RW and independent witnessing/replayability.",computational/specification,paper/equations.csv; src/rdfr_ci/forensic.py,Eqs. 7-8,yes,no,REPRODUCED,Illustrative F values are not audited measurements.
C007,3.7,"C concerns the consequence of an incorrect defensive action, including cascading effects.",computational/specification,paper/equations.csv; src/rdfr_ci/consequence.py,Eq. 9,yes,no,REPRODUCED,"Action/context-specific, not a permanent sector property."
C008,3.8,A priority prohibition/capability-scope check precedes the minimum over provisional authority and five gate caps.,computational/specification,src/rdfr_ci/gates.py,Eq. 10 / Table 3,yes,no,REPRODUCED,Demonstrated prohibitions select level 0 for the implicated AI action path.
C009,3.8,"PASS, UNKNOWN, documented N/A, and established failure/prohibition are distinguished; UNKNOWN cannot support promotion.",computational/specification,src/rdfr_ci/gates.py; configs/default_gates.yaml,gate tests,yes,no,REPRODUCED,"UNKNOWN caps: GS/GV/GFA/GH=2, GA=1."
C010,3.9,"The canonical authority scale is 0 Rollback/isolation, 1 Shadow/restricted, 2 Assisted, 3 Human-approved, 4 Bounded automation with half-open score bands.",computational,src/rdfr_ci/authority.py,authority tests,yes,no,REPRODUCED,Higher code means more permitted action in v1.3.0.
C011,3.10,"For fixed action/context R_CI >= w_C*C; with w_C=.25, C=.80 excludes level 4 at equality.",analytical,src/rdfr_ci/authority.py,Eq. 11,yes,no,REPRODUCED,"Conditional algebraic floor, not empirical safety threshold."
C012,3.11,"Child authority is capped by parent authority, child-local provisional risk, child scope, and child-local gates; capability intersection is separate.",computational/specification,src/rdfr_ci/agent_authority.py; paper/equations.csv,Eq. 12,yes,no,REPRODUCED,Does not bound cumulative trajectory harm.
C013,4.1,"Synthetic detector points are threshold .510/.385, F1 .924/.887, FPR .000/.037, weighted recall .714/.876, D .286/.124, R_CI .381/.349.",illustrative computation,results/tables/table_S5_synthetic_detection_operating_points.csv,detector sweep,yes,no,REPRODUCED,Synthetic detector sample; not SWaT attack performance.
C014,4.2,Nine of thirty scenarios have P(provisional band change) > .10 under sigma=.05; WATER-001 is .5067.,illustrative uncertainty,results/sensitivity/decision_uncertainty.csv,"10,000-draw scenario analysis",yes,no,REPRODUCED,Conditional on assumed input perturbation model.
C015,4.3,"A11 60 s threshold transfer is .94%->1.68%, 4.97%->10.19%, 9.94%->16.29% for nominal 1/5/10% budgets.",external aggregate,Zenodo/release aggregate A11 output,authorized A11 derived output,n/a,yes,EXTERNAL_AGGREGATE,"Normal-operation assumption; window-level flag rates, not independently verified false positives."
C016,4.3,"The constructed-event challenge reports 9/12,1/12,2/12,5/12 held-out events with D .24/.88/.76/.52 and R_CI .478/.606/.582/.534.",constructed external-data challenge,Zenodo/release constructed-event output,constructed perturbation challenge,n/a,yes,ILLUSTRATIVE,Constructed events are not real attacks.
C017,4.3,"Reported bootstrap conditional frequencies are .7993/.2007 for the F1 comparator, .9999 shadow at 1%, .9982 shadow at 5%, and .1368/.8632 at 10%.",constructed-event resampling,Zenodo/release bootstrap output,"10,000 event resamples",n/a,yes,ILLUSTRATIVE,"Not 10,000 independent attacks and not final gated authority."
C018,4.3,Raw SWaT is not redistributed.,data boundary,data/README_SWAT.md,data governance,yes,yes,REPRODUCED,Authorized source data required for rerun.
C019,5,"The six Table 10 action-context point scores are .1705,.3055,.3385,.3705,.4195,.5000 from the stated E,D,A,F,C vectors.",illustrative computation,scenario library,score verification,yes,no,REPRODUCED,Not measured sector risks.
C020,5,"Table 11 final codes are 4,2,2,2,2,1 under the explicitly stated illustrative gate assumptions.",policy application,src/rdfr_ci/gates.py,v1.3 gate verification,yes,no,REPRODUCED,"Direct policy applications, not controller outcomes."
C021,4.2/7,The illustrative catalog contains 30 scenarios spanning 18 sector labels.,illustrative catalog,scenarios/scenario_catalog.yaml,catalog check,yes,no,REPRODUCED,Legacy gate metadata are normalized to v1.3 semantics on load; E/D/A/F/C values unchanged.
C022,Appendix B / 7,Labeled SWaT A1/A2 evaluation is prospectively specified but unexecuted in v1.3.0.,protocol/future work,experiments/swat/run_swat_experiment.py,A1/A2 protocol,yes,yes,PRE_SPECIFIED,No labeled A1/A2 attack metrics claimed.
C023,Appendix C,"Operational validation must measure detection, AI assurance, cyber-physical effects, forensics, automation, human factors, stability, and elicitation reliability.",future validation specification,manuscript Appendix C,validation plan,n/a,yes,FUTURE_WORK,"Requirements for subsequent assessment, not completed measurements."
C024,Appendix C,"Priority stop/restriction and reassessment responses include direct level 0 for demonstrated prohibitions and no automatic one-rung rule near boundaries.",specification,src/rdfr_ci/gates.py,policy check,yes,no,REPRODUCED,Recovery remains separately authorized and safety-constrained.
C025,7-8,"The aligned v1.3.0 reference implementation establishes artifact/specification correspondence, not operational safety, practitioner reliability, or comparative superiority.",scope/validity,paper/manuscript_to_repository_mapping.md,release verification,yes,no,REPRODUCED,Operational validation remains future work.
