scenario_id,title,sector,asset_type,attack_description,defensive_action,reversibility,blast_radius,physical_process_effect,E,D,A,F,C,provisional_authority,final_authority,binding_constraint,boundary_margin,evidence_status,illustrative_or_empirical,weights,beta_vector,gate_states,gate_caps,assumptions
CDI-001,Critical digital infrastructure DDoS response,cloud/digital infrastructure,edge routing and scrubbing service,Volumetric and application-layer denial of service,"Rate limiting, traffic scrubbing and bounded route changes",high,low,primarily network-level,0.3,0.1,0.08,0.08,0.25,Bounded automation,Bounded automation,Score,0.0295,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
MFG-001,Smart manufacturing supply-chain compromise,smart manufacturing,engineering workstation and PLC management plane,Signed update contains malicious functionality and begins PLC-management communication,"Quarantine package, block C2, revoke credentials; PLC logic change remains approval-gated",medium,medium,production-line effect possible,0.4,0.22,0.16,0.1,0.55,Human-approved intervention,Assisted defense,G_H,0.0445,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""fail"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
SUB-001,Electric-grid substation anomalous remote commands,substations,protection and control equipment,Abnormal remote commands consistent with lateral movement and manipulation,Preserve evidence and segment malicious sessions; trip/switch commands require qualified approval,medium,high,protection-state change possible,0.45,0.15,0.1,0.08,0.75,Human-approved intervention,Assisted defense,G_H,0.0115,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""fail"", ""G_S"": ""fail"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
RAIL-001,Rail signalling anomaly response,rail,signalling controller and traffic-management network,Anomalous signalling/control messages,"Preserve evidence, simulate containment and recommend operator action",medium,high,unsafe service disruption possible,0.35,0.2,0.12,0.15,0.85,Assisted defense,Assisted defense,Score,0.0205,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""fail"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
HOSP-001,Hospital ransomware containment,hospitals,"identity, endpoint and clinical-support infrastructure",Credential compromise develops into lateral movement and ransomware behavior,Terminate clearly malicious sessions and preserve evidence; clinical isolation requires operational review,medium,high,care delivery disruption possible,0.7,0.25,0.18,0.2,0.65,Assisted defense,Assisted defense,Score,0.0695,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""fail""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
WATER-001,Water-treatment sensor manipulation,water treatment,"PLC, engineering interface and process sensors",Manipulated observations and attempted setpoint changes,Evidence collection and corroboration only; no autonomous setpoint change,low,high,unsafe treatment state possible,0.55,0.35,0.3,0.25,0.9,Shadow / restricted,Shadow / restricted,Score,0.0,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""fail"", ""G_FA"": ""fail"", ""G_H"": ""fail"", ""G_S"": ""fail"", ""G_V"": ""fail""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
POWER-001,Electric power EMS credential misuse,electric power,energy management system,Privileged credential misuse triggers anomalous dispatch requests,Revoke session and isolate management channel,high,medium,dispatch degradation possible,0.326356,0.674059,0.50271,0.473775,0.37728,Assisted defense,Shadow / restricted,G_A,0.035435,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""fail"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
BUILD-001,Building automation remote-access compromise,building automation,building management system gateway,External compromise creates unauthorized HVAC and controls maintenance path,Block remote path and preserve gateway evidence,high,medium,building service and occupancy impact possible,0.341045,0.838075,0.372391,0.86488,0.570214,Shadow / restricted,Shadow / restricted,Score,0.042788,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
SUB-002,Substation relay configuration drift,substations,protective relay configuration,Configuration differs from approved baseline after suspicious access,Freeze remote write access and request engineer validation,high,medium,incorrect relay state could affect protection,0.053918,0.892996,0.250705,0.361925,0.311359,Assisted defense,Shadow / restricted,G_A,0.027213,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""fail"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
WATER-002,Water historian poisoning,water treatment,historian and anomaly-detection feed,Poisoned telemetry biases security analytics,Quarantine data feed and revert to trusted baseline,high,low,indirect process-decision effect,0.314886,0.634125,0.08153,0.099616,0.331659,Human-approved intervention,Human-approved intervention,Score,0.04513,synthetic/illustrative governance scenario,illustrative,"{""A"": 0.15, ""C"": 0.25, ""D"": 0.2, ""E"": 0.2, ""F"": 0.2}","{""H"": 0.3, ""K"": 0.2, ""R_c"": 0.15, ""T"": 0.1, ""V"": 0.25}","{""G_A"": ""pass"", ""G_FA"": ""pass"", ""G_H"": ""pass"", ""G_S"": ""pass"", ""G_V"": ""pass""}","{""G_A"": 3, ""G_FA"": 2, ""G_H"": 2, ""G_S"": 1, ""G_V"": 1}","Illustrative demonstration input; not a measured sector risk level. | C decomposition is a neutral equal-component reproduction of the manuscript-level C score; operational use requires elicitation of H, V, K, T and R_c."
